	Moffitt_tumor_predicted	Collison_predicted	Bailey_predicted	MFP	Cohort
PANC78	Classical	Classical	Immunogenic	IE	PUB_Puleo_Belgium
PANC63	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC70	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC19	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC32	Basal-like	QM	Squamous	ID	PUB_Puleo_Belgium
PANC39	Classical	Exocrine	Immunogenic	ID	PUB_Puleo_Belgium
PANC89	Classical	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC4	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_Belgium
PANC16	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC22	Classical	QM	Immunogenic	IE	PUB_Puleo_Belgium
PANC86	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC99	Basal-like	Exocrine	Squamous	IEF	PUB_Puleo_Belgium
PANC9	Basal-like	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC37	Basal-like	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC8	Classical	QM	Immunogenic	IEF	PUB_Puleo_Belgium
PANC1	Classical	Exocrine	Squamous	IE	PUB_Puleo_Belgium
PANC12	Classical	Exocrine	Immunogenic	IE	PUB_Puleo_Belgium
PANC45	Basal-like	QM	Squamous	F	PUB_Puleo_Belgium
PANC51	Classical	Exocrine	ADEX	IE	PUB_Puleo_Belgium
PANC20	Basal-like	Exocrine	Immunogenic	F	PUB_Puleo_Belgium
PANC44	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_Belgium
PANC66	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_Belgium
PANC73	Classical	QM	Immunogenic	IE	PUB_Puleo_Belgium
PANC28	Basal-like	Exocrine	ADEX	F	PUB_Puleo_Belgium
PANC15	Classical	Classical	Squamous	IE	PUB_Puleo_Belgium
PANC38	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC90	Classical	Exocrine	Squamous	IE	PUB_Puleo_Belgium
PANC67	Classical	QM	Squamous	ID	PUB_Puleo_Belgium
PANC77	Classical	QM	Squamous	F	PUB_Puleo_Belgium
PANC71	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_Belgium
PANC21	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC61	Classical	Classical	Immunogenic	ID	PUB_Puleo_Belgium
PANC35	Classical	Exocrine	Squamous	IE	PUB_Puleo_Belgium
PANC58	Classical	Exocrine	Squamous	IE	PUB_Puleo_Belgium
PANC41	Classical	Classical	Squamous	F	PUB_Puleo_Belgium
PANC69	Basal-like	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC97	Classical	Exocrine	Squamous	IEF	PUB_Puleo_Belgium
PANC54	Classical	QM	Squamous	F	PUB_Puleo_Belgium
